year,month,region,tea_type,historical_demand,exports,growth_rate,forecasted_demand
2020,1,Central Province,CTC,25928.34,19352.88,7.59,27895.06
2020,1,Central Province,Orthodox,20309.45,12819.3,8.96,22128.51
2020,1,Central Province,Green Tea,17743.51,10719.15,10.3,19571.5
2020,1,Central Province,White Tea,7369.56,4692.06,6.42,7843.01
2020,1,Central Province,Oolong,5121.22,3515.15,2.26,5236.96
2020,1,Uva Province,CTC,25016.16,15707.62,3.43,25873.81
2020,1,Uva Province,Orthodox,19502.21,13480.2,3.76,20236.1
2020,1,Uva Province,Green Tea,15131.04,10634.81,9.79,16612.85
2020,1,Uva Province,White Tea,7014.24,5060.83,8.33,7598.72
2020,1,Uva Province,Oolong,4662.73,2888.72,10.84,5168.28
2020,1,Sabaragamuwa,CTC,22084.96,13790.02,13.56,25078.98
2020,1,Sabaragamuwa,Orthodox,18838.07,14728.81,7.98,20342.0
2020,1,Sabaragamuwa,Green Tea,15409.2,10206.17,4.34,16077.57
2020,1,Sabaragamuwa,White Tea,7779.93,4955.59,11.58,8680.92
2020,1,Sabaragamuwa,Oolong,4722.15,2916.86,8.51,5124.2
2020,1,Southern Province,CTC,20419.98,13360.18,3.25,21083.65
2020,1,Southern Province,Orthodox,17858.24,11718.35,11.17,19853.25
2020,1,Southern Province,Green Tea,13188.09,10028.75,8.4,14296.33
2020,1,Southern Province,White Tea,6233.14,3746.77,9.84,6846.17
2020,1,Southern Province,Oolong,4426.19,3301.06,10.66,4898.16
2020,1,Nuwara Eliya,CTC,25450.31,19663.44,7.07,27250.25
2020,1,Nuwara Eliya,Orthodox,20877.53,12791.9,11.3,23236.47
2020,1,Nuwara Eliya,Green Tea,16312.08,12167.53,4.41,17031.67
2020,1,Nuwara Eliya,White Tea,8302.15,5765.37,8.89,9040.18
2020,1,Nuwara Eliya,Oolong,5409.07,4068.47,6.06,5737.11
2020,1,Dimbula,CTC,27735.56,19380.47,9.01,30235.79
2020,1,Dimbula,Orthodox,19061.88,11534.04,10.47,21056.84
2020,1,Dimbula,Green Tea,15584.0,10935.51,11.13,17318.11
2020,1,Dimbula,White Tea,7656.77,5222.5,9.07,8351.34
2020,1,Dimbula,Oolong,4957.52,3050.84,10.23,5464.73
2020,1,Kandy,CTC,23791.71,18698.85,6.49,25336.92
2020,1,Kandy,Orthodox,21603.3,16727.26,11.47,24082.18
2020,1,Kandy,Green Tea,15689.22,12214.24,9.54,17185.94
2020,1,Kandy,White Tea,7948.41,6193.55,8.53,8626.14
2020,1,Kandy,Oolong,4784.73,3088.96,7.02,5120.48
2020,2,Central Province,CTC,25741.22,19875.98,7.12,27575.06
2020,2,Central Province,Orthodox,20575.26,14062.82,7.3,22076.48
2020,2,Central Province,Green Tea,15418.93,10292.49,7.13,16518.7
2020,2,Central Province,White Tea,7201.45,5068.08,9.21,7864.86
2020,2,Central Province,Oolong,4611.78,3663.4,12.21,5174.97
2020,2,Uva Province,CTC,20784.37,13654.67,7.92,22430.59
2020,2,Uva Province,Orthodox,19641.5,13759.57,6.7,20957.91
2020,2,Uva Province,Green Tea,14799.77,9308.75,8.9,16117.64
2020,2,Uva Province,White Tea,7014.19,4548.08,7.98,7573.77
2020,2,Uva Province,Oolong,4860.73,3147.46,10.26,5359.24
2020,2,Sabaragamuwa,CTC,20906.81,15187.99,12.15,23447.41
2020,2,Sabaragamuwa,Orthodox,19056.22,11777.85,14.57,21832.98
2020,2,Sabaragamuwa,Green Tea,13807.72,8799.71,10.77,15294.74
2020,2,Sabaragamuwa,White Tea,6566.56,4829.79,6.49,6992.7
2020,2,Sabaragamuwa,Oolong,4357.99,2812.21,6.9,4658.84
2020,2,Southern Province,CTC,19477.42,14377.99,9.42,21312.35
2020,2,Southern Province,Orthodox,18027.0,11312.02,7.52,19382.12
2020,2,Southern Province,Green Tea,12846.88,10084.01,7.03,13750.5
2020,2,Southern Province,White Tea,6060.93,4436.58,9.67,6646.92
2020,2,Southern Province,Oolong,4160.79,2937.23,11.92,4656.81
2020,2,Nuwara Eliya,CTC,24997.73,19484.31,7.38,26843.17
2020,2,Nuwara Eliya,Orthodox,21879.15,14611.03,10.35,24142.65
2020,2,Nuwara Eliya,Green Tea,17589.57,13709.7,5.4,18539.16
2020,2,Nuwara Eliya,White Tea,7718.48,5622.19,9.04,8416.17
2020,2,Nuwara Eliya,Oolong,5139.5,3093.15,10.54,5681.32
2020,2,Dimbula,CTC,25045.71,15052.78,5.86,26512.62
2020,2,Dimbula,Orthodox,21164.81,15627.65,4.35,22085.36
2020,2,Dimbula,Green Tea,15088.9,11202.54,9.97,16593.21
2020,2,Dimbula,White Tea,7127.07,5340.3,4.61,7455.53
2020,2,Dimbula,Oolong,5174.6,3785.34,9.24,5652.65
2020,2,Kandy,CTC,22687.15,15280.78,8.44,24601.4
2020,2,Kandy,Orthodox,19262.03,15305.65,5.55,20331.57
2020,2,Kandy,Green Tea,16092.66,11686.93,7.28,17264.4
2020,2,Kandy,White Tea,7119.43,5093.1,12.36,7999.43
2020,2,Kandy,Oolong,4409.66,3282.95,7.9,4757.86
2020,3,Central Province,CTC,22487.78,17722.43,9.45,24612.29
2020,3,Central Province,Orthodox,20070.65,15922.67,10.22,22122.08
2020,3,Central Province,Green Tea,14790.11,11391.74,3.46,15301.17
2020,3,Central Province,White Tea,6797.96,4835.8,6.46,7237.18
2020,3,Central Province,Oolong,4793.15,3422.37,9.16,5232.01
2020,3,Uva Province,CTC,22832.65,18220.7,5.57,24105.16
2020,3,Uva Province,Orthodox,19242.04,14921.71,4.57,20121.61
2020,3,Uva Province,Green Tea,15311.82,11338.35,11.2,17026.53
2020,3,Uva Province,White Tea,6305.15,4803.72,5.19,6632.17
2020,3,Uva Province,Oolong,4583.12,3586.97,8.77,4985.13
2020,3,Sabaragamuwa,CTC,21934.69,16662.88,19.56,26224.72
2020,3,Sabaragamuwa,Orthodox,19385.93,14717.0,10.96,21511.52
2020,3,Sabaragamuwa,Green Tea,13680.49,9235.93,10.28,15086.43
2020,3,Sabaragamuwa,White Tea,6468.13,3927.38,5.43,6819.5
2020,3,Sabaragamuwa,Oolong,4771.77,3136.52,2.4,4886.2
2020,3,Southern Province,CTC,19777.41,12014.17,8.24,21407.18
2020,3,Southern Province,Orthodox,16761.53,10482.86,11.27,18650.02
2020,3,Southern Province,Green Tea,14151.59,9101.79,8.39,15338.29
2020,3,Southern Province,White Tea,5837.54,3562.86,8.65,6342.45
2020,3,Southern Province,Oolong,4521.69,3289.47,13.53,5133.49
2020,3,Nuwara Eliya,CTC,22421.84,17019.01,8.56,24341.0
2020,3,Nuwara Eliya,Orthodox,20734.5,12766.05,2.99,21355.0
2020,3,Nuwara Eliya,Green Tea,16625.65,11335.21,10.6,18387.51
2020,3,Nuwara Eliya,White Tea,7359.32,4783.91,7.05,7877.89
2020,3,Nuwara Eliya,Oolong,5430.05,3975.01,9.21,5930.42
2020,3,Dimbula,CTC,24692.39,17836.41,12.95,27891.06
2020,3,Dimbula,Orthodox,19034.98,12776.17,6.55,20281.25
2020,3,Dimbula,Green Tea,15565.9,9644.12,13.62,17685.36
2020,3,Dimbula,White Tea,6092.27,3866.4,4.93,6392.42
2020,3,Dimbula,Oolong,4363.56,3155.59,4.1,4542.44
2020,3,Kandy,CTC,22772.48,15369.66,8.39,24683.6
2020,3,Kandy,Orthodox,19849.98,15310.25,15.04,22836.21
2020,3,Kandy,Green Tea,14392.36,8838.54,9.39,15743.27
2020,3,Kandy,White Tea,6914.73,4958.93,8.18,7480.54
2020,3,Kandy,Oolong,4683.39,3173.63,9.99,5151.09
2020,4,Central Province,CTC,19617.48,13911.22,14.33,22429.45
2020,4,Central Province,Orthodox,17073.43,13526.23,9.76,18740.65
2020,4,Central Province,Green Tea,12836.02,8520.49,8.62,13942.85
2020,4,Central Province,White Tea,5893.07,3675.11,10.55,6514.72
2020,4,Central Province,Oolong,4240.69,3288.63,12.36,4764.74
2020,4,Uva Province,CTC,20009.49,13134.36,9.89,21988.2
2020,4,Uva Province,Orthodox,16794.67,12786.91,5.87,17780.46
2020,4,Uva Province,Green Tea,12485.14,8420.02,8.35,13527.89
2020,4,Uva Province,White Tea,5575.39,4383.1,11.49,6215.77
2020,4,Uva Province,Oolong,3803.74,2853.47,11.3,4233.43
2020,4,Sabaragamuwa,CTC,17844.47,13927.8,8.78,19412.08
2020,4,Sabaragamuwa,Orthodox,16494.28,10952.36,8.06,17824.21
2020,4,Sabaragamuwa,Green Tea,11698.77,7044.62,10.56,12934.39
2020,4,Sabaragamuwa,White Tea,5553.38,4387.84,7.61,5975.96
2020,4,Sabaragamuwa,Oolong,3991.55,2752.93,11.2,4438.43
2020,4,Southern Province,CTC,16338.62,12000.78,4.36,17050.57
2020,4,Southern Province,Orthodox,15186.9,11510.51,10.0,16705.76
2020,4,Southern Province,Green Tea,11175.75,6834.1,5.31,11768.99
2020,4,Southern Province,White Tea,4621.85,3593.68,13.31,5237.08
2020,4,Southern Province,Oolong,3298.78,2073.61,7.04,3530.88
2020,4,Nuwara Eliya,CTC,21904.27,13585.56,12.07,24548.91
2020,4,Nuwara Eliya,Orthodox,18285.46,11237.37,6.48,19470.2
2020,4,Nuwara Eliya,Green Tea,14199.97,8751.01,10.62,15707.67
2020,4,Nuwara Eliya,White Tea,5913.98,4509.76,3.78,6137.39
2020,4,Nuwara Eliya,Oolong,4109.24,2534.17,12.08,4605.65
