iter	Passed	Remaining
0	172	172258
1	175	87718
2	178	59384
3	182	45359
4	185	36835
5	188	31185
6	191	27113
7	194	24112
8	197	21793
9	200	19884
10	204	18349
11	207	17077
12	210	16019
13	214	15096
14	217	14306
15	221	13611
16	225	13012
17	228	12474
18	232	11986
19	235	11533
20	239	11143
21	242	10796
22	246	10465
23	249	10156
24	253	9883
25	257	9633
26	260	9394
27	264	9180
28	268	8987
29	272	8808
30	276	8635
31	279	8463
32	283	8315
33	287	8174
34	291	8032
35	294	7894
36	298	7772
37	302	7658
38	306	7548
39	309	7435
40	313	7334
41	317	7238
42	321	7150
43	325	7067
44	329	6988
45	333	6909
46	337	6835
47	341	6767
48	345	6704
49	349	6646
50	353	6583
51	357	6520
52	361	6463
53	365	6404
54	369	6348
55	373	6302
56	379	6276
57	384	6249
58	389	6207
59	393	6162
60	397	6111
61	401	6070
62	405	6032
63	409	5995
64	414	5956
65	418	5915
66	422	5884
67	426	5851
68	431	5817
69	435	5790
70	439	5756
71	444	5724
72	448	5695
73	452	5663
74	456	5635
75	460	5604
76	465	5581
77	469	5553
78	473	5522
79	478	5497
80	482	5473
81	486	5446
82	490	5420
83	495	5399
84	499	5376
85	503	5354
86	508	5333
87	513	5318
88	517	5295
89	521	5273
90	526	5257
91	530	5239
92	535	5219
93	539	5198
94	543	5180
95	548	5163
96	552	5146
97	557	5128
98	561	5108
99	565	5091
100	570	5075
101	574	5060
102	579	5044
103	583	5025
104	587	5009
105	591	4991
106	596	4975
107	600	4960
108	604	4942
109	609	4928
110	613	4915
111	618	4902
112	622	4890
113	627	4876
114	632	4866
115	637	4854
116	641	4840
117	646	4830
118	650	4818
119	655	4804
120	659	4790
121	663	4777
122	668	4766
123	673	4754
124	677	4743
125	682	4732
126	686	4720
127	691	4709
128	696	4699
129	700	4687
130	704	4676
131	709	4666
132	714	4656
133	718	4645
134	723	4634
135	727	4624
136	732	4612
137	736	4601
138	741	4592
139	746	4582
140	750	4571
141	756	4570
142	761	4561
143	765	4551
144	770	4543
145	774	4533
146	779	4521
147	783	4512
148	788	4501
149	792	4489
150	797	4481
151	801	4472
152	806	4462
153	810	4454
154	815	4446
155	820	4439
156	825	4430
157	829	4422
158	834	4412
159	838	4404
160	843	4396
161	848	4389
162	853	4382
163	858	4374
164	862	4366
165	867	4359
166	872	4352
167	877	4345
168	882	4337
169	886	4329
170	891	4322
171	896	4314
172	900	4306
173	905	4299
174	910	4290
175	914	4282
176	919	4276
177	924	4268
178	928	4258
179	933	4252
180	938	4246
181	943	4238
182	947	4232
183	952	4225
184	957	4218
185	962	4210
186	968	4209
187	972	4202
188	977	4195
189	982	4187
190	986	4179
191	991	4171
192	996	4164
193	1000	4157
194	1005	4150
195	1010	4144
196	1014	4137
197	1019	4130
198	1024	4122
199	1029	4116
200	1033	4109
201	1038	4102
202	1043	4096
203	1048	4089
204	1052	4083
205	1057	4076
206	1062	4069
207	1066	4062
208	1071	4054
209	1075	4047
210	1080	4040
211	1085	4034
212	1090	4027
213	1094	4020
214	1099	4015
215	1104	4008
216	1109	4001
217	1113	3995
218	1118	3988
219	1122	3981
220	1127	3975
221	1133	3971
222	1138	3965
223	1142	3958
224	1147	3952
225	1151	3944
226	1156	3937
227	1161	3931
228	1165	3925
229	1170	3918
230	1175	3912
231	1180	3907
232	1184	3900
233	1189	3894
234	1194	3889
235	1199	3883
236	1204	3877
237	1209	3871
238	1213	3865
239	1218	3858
240	1223	3853
241	1228	3848
242	1233	3842
243	1238	3836
244	1242	3828
245	1246	3821
246	1251	3815
247	1255	3808
248	1260	3801
249	1265	3795
250	1269	3789
251	1274	3782
252	1278	3776
253	1283	3770
254	1288	3763
255	1292	3757
256	1297	3751
257	1302	3745
258	1307	3739
259	1312	3734
260	1317	3729
261	1321	3722
262	1326	3717
263	1331	3710
264	1335	3704
265	1340	3697
266	1344	3692
267	1349	3685
268	1354	3679
269	1359	3674
270	1364	3669
271	1368	3663
272	1373	3657
273	1378	3651
274	1382	3645
275	1387	3640
276	1392	3634
277	1396	3627
278	1401	3621
279	1406	3615
280	1410	3609
281	1415	3603
282	1420	3597
283	1424	3591
284	1429	3585
285	1434	3580
286	1438	3574
287	1443	3568
288	1448	3563
289	1453	3558
290	1457	3551
291	1462	3546
292	1467	3540
293	1471	3533
294	1475	3526
295	1480	3520
296	1484	3514
297	1489	3508
298	1493	3501
299	1498	3495
300	1503	3490
301	1508	3487
302	1514	3484
303	1518	3477
304	1523	3471
305	1527	3465
306	1532	3459
307	1537	3454
308	1542	3448
309	1546	3442
310	1551	3436
311	1555	3431
312	1560	3425
313	1564	3419
314	1570	3414
315	1574	3408
316	1578	3401
317	1583	3396
318	1588	3391
319	1593	3385
320	1597	3379
321	1602	3374
322	1607	3368
323	1611	3362
324	1617	3358
325	1621	3353
326	1626	3347
327	1631	3342
328	1635	3336
329	1640	3330
330	1645	3325
331	1650	3319
332	1654	3314
333	1659	3309
334	1664	3303
335	1668	3297
336	1673	3291
337	1677	3285
338	1682	3280
339	1686	3274
340	1691	3268
341	1695	3262
342	1700	3256
343	1705	3251
344	1709	3245
345	1714	3240
346	1718	3234
347	1724	3230
348	1728	3224
349	1733	3219
350	1737	3213
351	1742	3207
352	1746	3201
353	1751	3196
354	1756	3190
355	1760	3185
356	1765	3179
357	1770	3174
358	1774	3168
359	1779	3163
